File_name;Red_mass;CM_energy;Rel_speed;Tot_sigma
dcsH1He0el_1000log10e_-0820.dat;7.4962491838E+8;1.5135612484E-1;6.0243985245E+5;5.0742316326E+2
dcsH1He0el_1000log10e_-0830.dat;7.4962491838E+8;1.4791083882E-1;5.9554378048E+5;5.1161195340E+2
dcsH1He0el_1000log10e_-0840.dat;7.4962491838E+8;1.4454397707E-1;5.8872664720E+5;4.9546009106E+2
dcsH1He0el_1000log10e_-0850.dat;7.4962491838E+8;1.4125375446E-1;5.8198754900E+5;4.9484954138E+2
dcsH1He0el_1000log10e_-0860.dat;7.4962491838E+8;1.3803842646E-1;5.7532559261E+5;4.9035680684E+2
dcsH1He0el_1000log10e_-0870.dat;7.4962491838E+8;1.3489628826E-1;5.6873989501E+5;4.8364725767E+2
dcsH1He0el_1000log10e_-0880.dat;7.4962491838E+8;1.3182567386E-1;5.6222958327E+5;4.7600429222E+2
dcsH1He0el_1000log10e_-0890.dat;7.4962491838E+8;1.2882495517E-1;5.5579379445E+5;4.6909314168E+2
dcsH1He0el_1000log10e_-0900.dat;7.4962491838E+8;1.2589254118E-1;5.4943167549E+5;4.6519413617E+2
dcsH1He0el_1000log10e_-0910.dat;7.4962491838E+8;1.2302687708E-1;5.4314238311E+5;4.6779796734E+2
dcsH1He0el_1000log10e_-0920.dat;7.4962491838E+8;1.2022644346E-1;5.3692508366E+5;4.8868580624E+2
dcsH1He0el_1000log10e_-0930.dat;7.4962491838E+8;1.1748975549E-1;5.3077895305E+5;4.8994834120E+2
dcsH1He0el_1000log10e_-0940.dat;7.4962491838E+8;1.1481536215E-1;5.2470317662E+5;4.8968344537E+2
dcsH1He0el_1000log10e_-0950.dat;7.4962491838E+8;1.1220184543E-1;5.1869694902E+5;4.8776556292E+2
dcsH1He0el_1000log10e_-0960.dat;7.4962491838E+8;1.0964781961E-1;5.1275947415E+5;4.8362035256E+2
dcsH1He0el_1000log10e_-0970.dat;7.4962491838E+8;1.0715193052E-1;5.0688996498E+5;4.7636193508E+2
dcsH1He0el_1000log10e_-0980.dat;7.4962491838E+8;1.0471285481E-1;5.0108764353E+5;4.6484560972E+2
dcsH1He0el_1000log10e_-0990.dat;7.4962491838E+8;1.0232929923E-1;4.9535174071E+5;4.5947461333E+2
dcsH1He0el_1000log10e_-1000.dat;7.4962491838E+8;1.0000000000E-1;4.8968149622E+5;4.6225209544E+2
dcsH1He0el_1000log10e_-1010.dat;7.4962491838E+8;9.7723722096E-2;4.8407615849E+5;4.6489336391E+2
dcsH1He0el_1000log10e_-1020.dat;7.4962491838E+8;9.5499258602E-2;4.7853498452E+5;4.6901733740E+2
dcsH1He0el_1000log10e_-1030.dat;7.4962491838E+8;9.3325430080E-2;4.7305723985E+5;4.7550549719E+2
dcsH1He0el_1000log10e_-1040.dat;7.4962491838E+8;9.1201083936E-2;4.6764219841E+5;4.8507116275E+2
dcsH1He0el_1000log10e_-1050.dat;7.4962491838E+8;8.9125093813E-2;4.6228914243E+5;4.9823697943E+2
dcsH1He0el_1000log10e_-1060.dat;7.4962491838E+8;8.7096358996E-2;4.5699736237E+5;5.1517692782E+2
dcsH1He0el_1000log10e_-1070.dat;7.4962491838E+8;8.5113803820E-2;4.5176615682E+5;5.3577559977E+2
dcsH1He0el_1000log10e_-1080.dat;7.4962491838E+8;8.3176377110E-2;4.4659483239E+5;5.4674571325E+2
dcsH1He0el_1000log10e_-1090.dat;7.4962491838E+8;8.1283051616E-2;4.4148270361E+5;5.5596505157E+2
dcsH1He0el_1000log10e_-1100.dat;7.4962491838E+8;7.9432823472E-2;4.3642909290E+5;5.6323372969E+2
dcsH1He0el_1000log10e_-1110.dat;7.4962491838E+8;7.7624711663E-2;4.3143333038E+5;5.6860739926E+2
dcsH1He0el_1000log10e_-1120.dat;7.4962491838E+8;7.5857757503E-2;4.2649475389E+5;5.7207423421E+2
dcsH1He0el_1000log10e_-1130.dat;7.4962491838E+8;7.4131024130E-2;4.2161270881E+5;5.7377664612E+2
dcsH1He0el_1000log10e_-1140.dat;7.4962491838E+8;7.2443596007E-2;4.1678654804E+5;5.7423667569E+2
dcsH1He0el_1000log10e_-1150.dat;7.4962491838E+8;7.0794578438E-2;4.1201563188E+5;5.7473852151E+2
dcsH1He0el_1000log10e_-1160.dat;7.4962491838E+8;6.9183097092E-2;4.0729932794E+5;6.2708567854E+2
dcsH1He0el_1000log10e_-1170.dat;7.4962491838E+8;6.7608297539E-2;4.0263701108E+5;6.4245051045E+2
